"uid","domainID","siteID","namedLocation","sampleID","collectDate","laboratoryName","pH","externalConductance","waterCarbonate","waterBicarbonate","externalANC","waterCalcium","waterMagnesium","waterSodium","waterPotassium","waterSulfate","waterChlorine","waterManganese","waterIron","waterBromine","waterFluorine","waterSilica","totalSuspendedSolids","totalSuspendedSolidsDryMass","totalDissolvedSolids","waterNitrateAndNitriteN","waterNitriteN","waterAmmoniumN","waterOrthophosphateP","waterTotalNitrogen","totalDissolvedNitrogen","dissolvedInorganicCarbon","dissolvedOrganicCarbon","waterTotalOrganicCarbon","waterTotalPhosphorus","totalDissolvedPhosphorus","totalParticulateCarbonMass","totalParticulateNitrogenMass","uvAbsorbance250","uvAbsorbance284","coolerTemp","sampleCondition","remarks","shipmentWarmQF","externalLabDataQF"
"58d30495-b8cd-4b25-a185-d6c9f4e9bbaf","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161018","2016-10-18T13:50Z","EcoCore_CSU",7.41,102.4,0,32.39,1,5.82,1.38,13.38,1.058,6.2,12.11,0.02,0.62,0.01,0.01,4.32,8,200,113.1,0.014,0.011,0.02,0.026,0.1023,0.0556,3.087,2.105,21.84,0.003,0.002,0.257,0.0571,0.0559,0.0398,3.8,NA,NA,0,NA
"26e99258-db2c-430f-b9a0-4f3cc256641d","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110","2016-11-10T14:50Z","EcoCore_CSU",6.91,179.4,0,32.01,1,7.95,2.09,19.36,1.38,9.63,25.12,0.04,0.81,0.01,0.01,5.2,0,0,134.4,0.049,0.01,0.15,0.402,0.1865,0.2392,2.691,2.998,2.19,0.018,0.016,0.2391,0.0778,0.0578,0.0415,5.4,NA,NA,0,NA
"75851d06-dc02-449b-9790-dc66a3e1f03c","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161117","2016-11-17T14:40Z","EcoCore_CSU",7.03,111.7,0.01,12.54,0,5.54,0.58,17.17,1.305,39.8,2.03,0.02,0.72,0.59,0.01,3.62,0,0,111.8,0.006,0.008,0.11,0.051,0.1322,0.1359,2.352,4.333,6.9,0.005,0.003,0.2705,0.0369,0.1001,0.0672,5.9,NA,NA,0,NA
"34a5d4d0-868b-4fca-aeda-5dc6993f63ec","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161207","2016-12-07T14:50Z","EcoCore_CSU",6.88,121.3,0,26.54,1,5.64,1.62,17.49,0.95,10.48,18.52,0.02,0.76,0,0,4.84,0,0,82.56,0.031,0.007,0.05,0.422,0.1752,0.1691,1.961,2.87,3.4,0.003,0.001,0.2771,-0.0508,0.094,0.0663,1.4,NA,NA,0,NA
"df31dc96-288f-442f-bbab-e98b231f9d5b","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161214","2016-12-14T14:50Z","EcoCore_CSU",6.64,121.3,0,29.89,1,5.67,1.68,17.97,0.89,5.41,21.45,0.03,0.73,0,0,4.91,0,0,83.64,0.046,0.01,0.04,0.031,0.2136,0.1997,1.94,2.726,2.12,0,0,0.2425,0.0723,0.0791,0.0556,2.6,NA,NA,0,NA
"46a188b7-bd3c-4e4d-9870-a07b85cc5c2a","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20170117","2017-01-17T15:30Z","EcoCore_CSU",6.83,123.8,0.01,24.99,1,5.42,1.47,19.12,0.72,5.11,25.89,0.02,0.06,0,0,5.2,0,0,85.67,0.071,0.011,0.01,0.032,0.2222,0.2222,1.589,2.77,2.08,0.003,0.002,0.2566,0.0782,0.058,0.0325,1.8,NA,NA,0,NA
"6be2539c-ad98-4146-b8ce-39c109d5fa31","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20170125","2017-01-25T15:02Z","EcoCore_CSU",6.87,122.5,0.01,12.34,0,4.88,1.3,19.11,0.703,6.48,29.52,0.01,0.6,0,0.11,4.85,0,0,84.25,0.037,0.007,0.08,0.027,0.1408,0.1525,1.238,2.327,2.31,0.004,0.001,0.2478,0.0739,0.0831,0.0558,4.5,NA,NA,0,NA
"ca991db8-8a94-4874-9736-280befc99ae7","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20170214","2017-02-14T15:40Z","EcoCore_CSU",6.74,112.3,0.01,21.58,0,5,1.36,16.58,0.671,4.18,22.56,0.02,0.06,0,0.17,4.8,0,0,78.74,0.079,0.015,0.12,0.031,0.1436,0.1604,1.723,1.862,2.17,0.001,5e-04,0.2815,-0.0019,0.0695,0.0512,2.9,NA,NA,0,NA
"960ef221-b456-44de-aa30-489308bfd8e4","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20170221","2017-02-21T14:55Z","EcoCore_CSU",6.87,121.4,0.01,2.62,0,5.24,1.41,18.33,0.641,6.71,35.02,0.02,0.07,0.01,0.01,4.73,0,0,83.47,0.066,0.015,0.03,0.03,0.1375,0.0025,1.612,2.037,2.21,0.0184,0.0035,0.2855,0.0714,0.0969,0.0734,2.3,NA,NA,0,NA
"5f03d3af-40d4-44ed-9510-5bc43b410e5a","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20170306","2017-03-06T15:35Z","EcoCore_CSU",6.75,141.64,0.01,21.85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0.045,NA,NA,NA,0.1827,0.1913,NA,NA,NA,NA,NA,0.5441,0.0712,0.0704,0.0541,4.5,NA,NA,0,NA
